"star1","star2","star3","star4","star5"
"scoffed","not_comfortable","perception","clients","knees"
"nachdem","vein","unaware","notarial","reasonable_priced"
"suspected","not_half","enttäuscht","ash","not_up"
"vulgar","obligatory","swift","not_fit","melded"
"breakfast_spot","peeling","harvey","hovering","marshmallows"
"gristly","juices","picas","hakkasan","rajah"
"amuse","burst","avg","behaviour","splurged"
"woollen","tina","chore","not_allowed","communication"
"tracked","softer","african","immaculate","kahlua"
"laziness","marco","sunrise","docking","patronage"
"diaper","curried","snicker","lemurs","satiated"
"firefly","architecture","ash","cain","jeremy"
"thailand","macron","spain","aggressive","cones"
"tasted_pretty","handy","extremely_rude","depressing","gmo"
"protect","awe","cockroach","linton","summertime"
"whack","lisa","not_deserve","not_once","stringy"
"richard","not_honor","drooling","scotland","cello"
"scratching","deplorable","severe","not_appreciate","nerd"
"tasted_fresh","not_blown","thawed","baconer","automatic"
"jokingly","overcharge","grossly","not_cool","hubs"
"splurge","embarrassment","omg","gargantuan","einstein"
"fortunate","improperly","amaze","transformed","blah_blah"
"not_love","stunk","unorganized","tooth","referring"
"harvey","not_satisfying","hazard","not_ideal","discussion"
"croquet","unenthusiastic","aright","symphony","throwback"
"not_add","not_trust","curt","andrew","stressful"
"hopping","illegal","eric","drug","maintenance"
"not_agree","woefully","uniquely","shave","dunno"
"batali","not_arrive","libation","not_totally","meantime"
"pedestrian","not_appealing","shisha","uneven","economy"
"fez","unwanted","plush","remark","damage"
"artisan","vowed","essayer","gimmicky","desperately"
"stronger","robuchon","cougar","collect","coho"
"critique","wollte","fungi","kuala","creamiest"
"taps","ruffled","surcharge","happy_hours","fab"
"pun","outs","outgoing","farmers","seamless"
"cockroaches","mural","consumer","lightning","yummm"
"threaten","anomaly","blocking","not_rude","not_fresh"
"driest","blossom","brutal","accoutrement","toddy"
"honouring","todd","zips","robert","unobtrusive"
"reiterated","depressed","indicating","considerably","brett"
"gnat","étaient","legal","owe","phx"
"not_either","smeared","snooze","believed","deist"
"botched","andouille","baristas","brad","juiciest"
"favourites","soufflé","shoppers","brochette","rivalled"
"uncovered","foreign","flimsy","continuing","sinfully"
"not_mentioned","abundant","doughnuts","suffering","contender"
"gary","unlv","dungeness","yd","fondant"
"rinse","elite","dramatically","maintenance","étouffée"
"delighted","denver","united","md","flyer"
"vanished","doc","fade","veteran","colin"
"margarine","displeasure","qualm","food_poisoning","acting"
"mimosas","hooked","not_salty","royalty","half_empty"
"eric","sewage","not_not_ice","sensational","afghani"
"tactic","moron","continuing","lousy","congratulations"
"not_stand","obsessed","announced","piss","desires"
"uneasy","not_juicy","caring","empty_restaurant","gimlet"
"scratched","ihr","deducted","regrets","not_allow"
"embarrass","shoddy","dryness","bières","cancer"
"endured","deutlich","memories","not_shy","lectures"
"attacked","turnoff","understatement","indifferent","potent"
"not_handle","apron","frequenting","fondant","not_stingy"
"not_me","behalf","not_of","positives","trusty"
"not_leaving","collected","mouth_watering","plutôt","winners"
"2012","dates","not_cleaned","not_deliver","not_so_good"
"employed","bustling","flirting","excellence","mainland"
"lively","transfer","charges","goreng","not_about"
"jennifer","ids","purposely","pinball","reggae"
"reordered","brian","not_nice","splurged","subtly"
"steadily","towels","excellence","not_fully","mainstay"
"shogun","hugely","fraiche","elizabeth","raymond"
"redemption","cowra","jealous","creamier","sudden"
"not_a_huge","booster","redo","marriage","surprises"
"not_half","limber","scotland","pistachios","avoiding"
"wines","hesitation","rotate","mandatory","causal"
"muss","cocoa","jellyfish","hiring","headache"
"mason","festive","blizzard","indite","sturdy"
"baa","masked","decreased","pibil","choppy"
"ranging","breads","homely","offing","ahhhh"
"overloaded","not_anywhere","bisschen","greece","unwind"
"entertained","brulee","biersch","overkill","silence"
"expand","monitors","andrew","mann","bouffe"
"accusing","regretting","not_complain","admire","holstein"
"franchisee","fixings","lan","sara","pretty_empty"
"stupidity","clients","intoxicated","ahhhh","struggling"
"lawsuit","geared","tweaking","earns","helps"
"vow","proclaimed","wreck","unreasonable","wad"
"holies","medley","scheduled","qdoba","disappear"
"belonging","nibble","tare","unaware","amateur"
"inattentive_service","legendary","swipe","melissa","fischer"
"reappeared","beets","westernised","not_carry","eigentlich"
"excused","worst_food","dutch","swore","nibble"
"discomfort","inept","début","reader","yelled"
"not_follow","fraud","thereof","distraction","goood"
"ihr","not_medium","lamb_chops","proclaimed","bosnian"
"reuse","wage","couches","brush","not_coming"
"correcting","deposit","puny","understatement","flavourless"
"gratitude","pleasant_surprise","unwind","not_surprised","washing"
"behave","thoughtful","lattes","improving","deckers"
"mysteriously","ryan","osso","ignoring","stolen"
"justin","clumped","simpler","saving_grace","not_exaggerating"
"respected","exaggerating","torch","not_intrusive","casanova"
"discrepancy","not_reflect","urbana","uncooked","glamour"
"inaccurate","unclear","territory","bannock","ivan"
"jarred","uneasy","stressful","exceeds","2015"
"not_consistent","tack","sussing","pecorino","mfg"
"stun","stun","lush","furikake","bathe"
"remnant","tricky","occurrence","yucky","not_right"
"taylor","not_me","bbq_chicken_pizza","delights","decadence"
"unexpected","petit","overdressed","horror","generosity"
"transfer","wednesdays","departure","quality_ha","tracy"
"inquiring","scratching","seasons","slapped","ballroom"
"sweeter","cirque","food_finally","savory","dogmas"
"tuesdays","nook","expertly","rosé","ice_cold_beer"
"speedy","storage","ruining","not_found","challis"
"neglect","brightly","not_acceptable","solidly","not_hing"
"detroit","humongous","untouched","babaganoush","steroids"
"sean","totalled","fave","recreate","bald"
"noway","baristas","sympa","artfully","meilleur"
"flirt","puny","spotless","observed","profiterole"
"tucson","exploring","messing","craft_beers","not_eaten"
"aimlessly","creates","flyer","mammies","crunchiness"
"depressed","rests","clerk","sinus","borderline"
"childhood","fade","macaroons","phylum","not_bring"
"midway","plank","greets","mainstay","eccentric"
"frazzled","tapenade","mop","predictable","allerdings"
"mule","saddened","catchy","nectar","handing"
"melissa","francine","trove","hokkaido","not_put"
"overlooking","pronounced","slipping","mechanical","unbedingt"
"contrast","frills","rome","tickets","existence"
"verge","pastas","chicken_pizza","priceless","utensils"
"awe","frisk","impromptu","reminding","sparse"
"menu_option","sakai","retrospect","greeter","gusted"
"ontario","seasons","frazzled","tossing","food_din"
"humid","props","molong","poison","icky"
"deals","absolutely_amazing","camper","discussed","weed"
"été","disgust","distinguish","eigentlich","territory"
"infuriated","not_wow","officially","cs","retch"
"mistreated","driest","scenario","not_of","doused"
"not_value","love_coming","electronic","yummmm","bagged"
"min_waiting","passive","gathered","costs","soupy"
"drugs","unattended","not_keep","incorrect","not_surprised"
"bogus","robbery","horrific","not_stuffy","spading"
"managerial","caked","coolest","pasties","smelt"
"disability","not_listen","claiming","drain","not_waste"
"not_delivered","inattentive_service","donuts","embarrassing","desiree"
"nauseated","buyer","feelings","repeated","remake"
"disregarded","aggressively","licking","prefect","eye_contact"
"recording","bursting","not_his","gooood","senna"
"wretched","insisting","not_extraordinary","savers","piquant"
"goodly","conditioner","deter","not_exceptional","dakota"
"postdates","poorer","food_quality_ha","breathtaking","swoon"
"unpalatable","fluid","abrupt","anytime","tranquil"
"borne","brusque","indulging","admitted","okinawa"
"cheque","facial","rand","pied","meticulously"
"not_tender","imported","rosario","preferences","genial"
"abrasive","earthy","taylor","painfully","sooooooooo"
"not_send","tempting","torts","clerk","ache"
"emily","not_awesome","japchae","compensate","quibble"
"delicate","entitled","not_least","kibble","demanding"
"circumstances","relation","rep","backdrop","bam"
"wagin","lebanese","rockefeller","lauren","sensory"
"jake","not_spend","reaps","not_awesome","mahal"
"calculated","crummy","not_comfortable","pescatarian","christine"
"yay","cavernous","inferior","georgia","fats"
"submitted","featuring","sarah","fairness","lois"
"predict","hesitate","20","net","advertise"
"impersonal","lavender","operating","intoxicated","repeating"
"pomegranate","star_reviews","proof","timers","blizzard"
"not_super","ono","marco","pierogis","mistaken"
"sexy","nicht","ramekin","martin","papilla"
"beaten","aqua","humus","kindness","snowy"
"lebanese","robert","parmigiano","isolated","frise's"
"handmade","smiles","clients","gentle","shocking"
"eras","gastropod","nightly","transport","croquets"
"damp","victim","destroyed","aloof","smallish"
"pleasantly","ummmm","hardest","scrape","consumer"
"lychee","outcome","kiddos","zubereitet","not_complaining"
"stupidly","claustrophobic","prompted","snooze","donald"
"trivia","apples","chiles","howl","happy_hours"
"marshmallow","loves","ignorant","apple_bees","scheduled"
"wenig","chelsea","magnificent","pommel","blond"
"flowing","distraction","dreaming","blessed","significantly"
"condensed","crispness","的","briny","juiciness"
"retro","reconstructed","delightfully","torch","cuisines"
"seasons","wary","treating","lange","lieder"
"humiliating","studying","interrupting","julie","colouring"
"putrid","carson","operate","not_not_ice","offence"
"not_acknowledged","racist","deutlich","decidedly","theory"
"dishwater","uneatable","wholesome","waaaay","not_salty"
"irate","not_returning","soothing","not_happen","representation"
"calculator","scrumptious","managers","bearable","ewe"
"deteriorated","begrudgingly","gobbled","deeply","escalator"
"particle","not_too_sweet","elegance","orgasmic","shouting"
"gassed","genius","alarm","lish","not_happen"
"afloat","dashed","decked","pairings","mask"
"writes","bravo","spray","extremely_slow","drama"
"not_worth","thinnest","stunned","leckere","reaching"
"cigarettes","dissapointing","hoard","bothering","amazeballs"
"improves","fees","flown","rumba","foodgasm"
"fm","savour","phylum","didst","bouncer"
"comprehend","hätten","shaded","tomahawk","sydney"
"explicitly","eric","fattening","not_rushed","emailed"
"bleh","joel","quinton","dedication","pissed"
"cannoli","laziness","finesse","dhaba","shitty"
"denying","nutty","redemption","beats","masterfully"
"damper","thursdays","denis","az","not_pushy"
"sooooooo","sickly","croissants","reagan","safety"
"array","residue","eu","desires","cozy"
"sneeze","drawer","puffy","petits","alberto"
"goodies","artwork","assumption","occurred","ripped"
"hose","cornish","opera","classed","myra"
"sank","representative","sweetheart","bodied","bit_bland"
"skimped","finesse","not_anywhere","ice_cold_beer","unsatisfied"
"weirdest","splendid","saddened","tweak","crispier"
"varied","gruyere","weed","checks","zuvorkommend"
"perplexed","awry","andouille","mountains","superbly"
"not_talk","tires","foreign","crustacean","hex"
"inquiry","rad","endure","catchy","physically"
"unwrapped","spoons","dissatisfied","juicier","chewing"
"gelato","coriander","mmmm","laying","complimenting"
"blossom","stephanie","not_greeted","dainty","carpet"
"hug","porky","indulged","tentative","gillette"
"cellar","partake","lowest","cruising","accents"
"serrano","mighty","principle","glorified","teamwork"
"tonkotsu","danish","sanitary","amine","walmart"
"deducted","preserved","bliss","not_outrageous","honourable"
"moderate","daikon","turnoff","not_is","inquire"
"wary","puris","tainted","foccacia","creatively"
"couscous","blench","puzzled","australian","gyros"
"improving","bester","robotic","causal","decked"
"southwester","scowl","intentionally","shoppers","gum"
"liars","sighed","grimy","juiciness","suspicious"
"outraged","informing","hibiscus","impromptu","gummy"
"sham","ewww","ores","flimsy","witness"
"demeaning","whopper","fontana","desirable","overwhelm"
"jerks","not_brought","rapine","nuggets","ahem"
"cuss","disappears","stun","absorb","pay_extra"
"uneducated","musty","manly","estimate","accoutrement"
"bully","besonderes","tentative","comments","not_authentic"
"coffin","powdery","unnecessarily","overloaded","increased"
"not_important","not_so_mewhere","not_suggest","pseudo","allgemein"
"violated","frill","ids","kristin","bust"
"disappoints","whys","sweetbread","extent","tolerable"
"paperwork","speech","instructed","humid","nouveau"
"unimaginative","azo","overwhelm","upfront","unfair"
"perfectly_cooked","waaaaay","residential","drier","marten"
"scolding","kensington","considerate","smelt","not_sit"
"towed","reasoning","comical","ida","applied"
"declining","lou","totalled","potoroo","noticeably"
"freshest","gazpacho","strudel","mcdonalds","prompted"
"uneventful","medical","not_call","signets","chiles"
"plainly","cringe","cuisines","fantastically","costs"
"sleazy","kitsch","styles","messing","hallelujah"
"powdery","20","nuggets","utter","brilliantly"
"grisly","resemblance","sweet_potatoes","adored","blissful"
"generous_portion","minimalist","adorned","elegantly","acted"
"sweep","rectangular","sherry","brimming","lousy"
"überhaupt","elvis","stephanie","leeches","pilgrimage"
"irvine","snicker","verge","not_excellent","snoh"
"director","confronted","awe","cop","lohnt"
"subjected","hostile","amy","forgetful","super_fast_service"
"browning","barked","dips","not_gourmet","carla"
"debris","not_disappoint","reader","managers","hervorragend"
"disguised","owed","flexible","detract","severe"
"revamp","not_so_fresh","vomit","boeuf","meilleurs"
"sexual","unexciting","inexcusable","emergency","not_cooked"
"metallic","indistinguishable","unwelcoming","inquire","meticulous"
"deceptive","unpleasant_experience","not_anytime","misses","shipwreck"
"hr","shard","displeased","puerto","eldorado"
"ants","snatched","dreadful","painful","anytime"
"facet","explosion","not_remarkable","gb","pretty_bad"
"ono","shorted","uninteresting","flustered","lightness"
"homo","openly","not_refilled","not_warm","foodies"
"roe","cashed","lipstick","reggae","haley"
"haha","grisly","not_enjoyable","minsk","cozen"
"not_so_bad","employ","screamed","venezuelan","sorely"
"baristas","strangest","not_drive","bao","permanently"
"humour","adore","not_asked","jo","leeches"
"buttermilk","endpoint","questioning","avail","choke"
"not_comfortable","toasty","demanding","intimidated","horseback"
"concession","trim","repackaged","legal","cop"
"brewing","horton","chipped","intro","bakes"
"pool_table","drying","not_mine","reorder","occurred"
"rake","not_split","evidence","not_stay","chased"
"chive","not_suggest","reviled","evoke","savory"
"heritage","richard","hunter","not_on","pâté"
"memories","draught","justin","yeti","backdrop"
"museum","groupon","not_perfect","rockefeller","poses"
"intrigued","detroit","patronage","kitsch","aperitif"
"caper","tenderness","not_visit","slid","marscapone"
"thieves","colorado","leech","dungeness","gras"
"unprofessionally","concession","interrupt","offence","hot_water"
"inspected","career","vacant","united","confetti"
"curtly","drolly","quelques","socializing","glitz"
"mumbling","hubs","interactive","oiled","attempting"
"idiotic","tapas","sussed","fart","accented"
"turd","weekdays","carts","tape","hefeweizen"
"contempt","cartilage","pretending","resulting","sourcing"
"brandon","nourriture","appreciative","allgemein","manly"
"delete","amy","weirdest","epitome","cannot_eat"
"investigation","spaced","devouring","gained","tooth"
"not_justify","germany","getaway","ouch","gingerbread"
"not_refilled","tidy","towels","wannabe","wimp"
"advising","esp","intimacy","typing","collect"
"not_fix","hatch","swollen","bueno","dock"
"doubtful","disgrace","watercress","rules","star_reviews"
"unflavoured","super_fresh","talkative","dryness","duper"
"unevenly","dismissed","cello","concentrate","drowning"
"unrecognisable","abruptly","sara","gathered","reaps"
"sickness","cancelling","rarity","destroyed","voter"
"drained","pretended","not_dry","trace","wenig"
"not_crisp","botched","compensated","not_when","frites"
"grizzle","swiped","diabetic","cancel","clarify"
"cashing","declining","cartilage","reply","comments"
"crisis","unrecognisable","throwback","irresistible","estimated"
"indigestion","suspicion","estimated","dissatisfied","decidedly"
"mgmt","2015","discovery","not_coming","adjustment"
"discernible","not_quality","firecracker","safety","pedestrian"
"not_waiting","correction","discussed","unobtrusive","assistance"
"preoccupied","shrunk","proclaimed","unimpressive","reader"
"not_move","adobada","physical","carnivores","midweek"
"not_reflect","unsalted","absolutely_terrible","blank","flop"
"white_chocolate","combinations","lied","worlds","not_of"
"cannot_give","andy","expired","bordelaise","fantabulous"
"wagyu","scratched","not_stars","superbly","seamlessly"
"andrew","bookmarked","not_regret","not_dried","bullshit"
"wee","butterscotch","uneaten","argument","gravlax"
"implied","roomy","congealed","comprehensive","apologizing"
"minute_wait_time","inquiring","not_willing","brushed","ruining"
"cowra","swollen","reluctantly","not_so_mewhere","kimba"
"pecker","purée","oblivious","dosage","screwed"
"colorado","cannot_get","revenue","decadence","looooove"
"vegetarian_options","delicacy","ashley","accents","bellman"
"macron","waterfall","podium","habenero","not_annoying"
"teas","hosted","blandness","refuge","nomi"
"soup_salad","beast","bitchy","not_taking","lindsay"
"conveniently_located","cheery","not_crisp","giro","not_mushy"
"overdressed","hmmmm","textural","mop","preserves"
"accessible","bad_reviews","motel","andrea","argentinean"
"sunrise","fortunate","textures","bourdain","not_accept"
"arcadia","celia","outright","tarting","bertha"
"bearable","artery","bora","satiated","environmentally"
"hardest","absorb","not_hurt","tickle","lebowski"
"not_compare","polished","advertises","yonge","counted"
"doc","straightforward","emergency","bream","grail"
"riddance","trips","soirée","stunned","homesick"
"infestation","fritters","pointless","explored","nitrogen"
"hidden_gem","mainstream","ticked","nettle","attitudes"
"unfriendly_service","spiked","kahlua","infusion","travels"
"voided","types","tiniest","wreck","horror"
"unwashed","liar","facelift","spacing","ito"
"irresponsible","prison","not_a_fancy","fascinating","flambé"
"not_wish","expiration","kevin","cannot_get","gta"
"remaking","not_wowed","adam","blond","diabla"
"actions","screwing","aubergine","rep","gristle"
"recook","nightmares","skewed","whimsical","foie"
"broom","unused","suspicious","stark","advertisement"
"culprit","leadership","metallic","existence","softness"
"not_understanding","informs","agnolotti","medical","sherbet"
"wrack","ripping","staples","not_call","kurobuta"
"overbooked","hideous","sweeping","subject","overpowered"
"unoccupied","not_stellar","codfish","not_true","shook"
"tuff","goody","plusieurs","blocked","hehe"
"gagging","huge_portions","rico","harvey","resembled"
"mildew","not_refill","monk","shred","not_help"
"grime","choking","subject","weed","stein"
"stank","coughing","exorbitant","announced","indite"
"earshot","exited","swore","not_add","brutal"
"not_a_bad","margarine","poison","invest","offing"
"dashed","sweep","rules","marten","stained"
"childish","greets","humid","command","torus"
"brilliant","ledge","incompetent","delicioso","lease"
"magical","skewed","awful_service","pathetic","raison"
"dissapointing","andrew","supervisor","unforgettable","survey"
"hospitable","scottish","mgr","elderflower","medical"
"loosing","liven","emailed","bye","qdoba"
"not_after","deceptive","docked","apologizing","punched"
"employment","not_ordered","hygiene","downsides","scooped"
"not_special","immensely","not_exciting","interrupted","gritty"
"reputable","chocolaty","not_heavy","piquant","wannabe"
"uninviting","chashu","tepid","not_overpower","batali"
"unripe","epitome","narky","openness","manageable"
"not_finished","carbs","inconveniencing","yummiest","md"
"comically","believer","not_ok","carnivorous","waaaay"
"sawdust","finch","bières","costumer","green_onions"
"rehearsal","radar","not_grilled","jarritos","dispenser"
"porcelain","charbroiled","oasis","not_ch","notarial"
"strewn","deducted","bait","screamed","drier"
"twilight","parmigiano","nailed","chocolates","destroyed"
"slipping","kiwi","wiping","decline","gelatinous"
"asses","sri","evaluate","surly","mummy"
"gossip","firecracker","indulgent","brenner","downhill"
"downer","canyon","shrunk","heartier","tolls"
"demographic","monthly","terrasse","fats","immaculately"
"boom","stream","forgiving","nutritious","whelmed"
"sadness","kiddos","tartness","griddled","superlative"
"distinguish","chock","jenga","not_prepared","unimpressed"
"garlicky","furious","artistic","ceilings","uncooked"
"mexican_food_restaurant","incompetence","classics","mochiko","istanbul"
"freundlich","ignores","detour","caprese","iberico"
"casserole","inconsiderate","solve","harmony","mattie"
"peppery","gloves","downgraded","classique","2016"
"paced","not_disappointed","savoy","not_extensive","hazelnuts"
"suited","mouth_watering","wire","atomic","rumba"
"kbps","itemized","not_clear","not_bland","pales"
"chock","celebrated","hardened","assistant","not_shy"
"somme","receptionist","relation","whopping","beth"
"ewwww","ehhhh","predominantly","disease","farer"
"berated","fresh_ingredients","guilt","kirin","touching"
"abused","glue","lifter","trashy","screamed"
"absolutely_delicious","deaf","wimp","roots","parallax"
"infuriating","operate","almonds","intimacy","toni"
"sexist","nailed","exaggeration","pity","operate"
"muttered","confirming","truffles","removing","fanciest"
"intercom","sheesh","jay","cannock","changer"
"guideline","stoned","malbec","ross","pew"
"crude","vanished","staff_had","cowra","hare"
"saddens","orb","sporter","flu","linton"
"greasiest","glaring","victim","ruff","quality_ha"
"unbelted","überfordert","not_planning","maya","franklin"
"not_spectacular","chalky","kielbasa","ecstatic","continent"
"odor","trapped","confess","cartilage","bodied"
"not_letting","saltier","apprehensive","dissapointed","nyah"
"unresponsive","jarred","sadness","meinen","sansotei"
"sniffed","minsk","belgium","adjustment","not_bland"
"jackass","damp","aufmerksam","batali","spray"
"marc","northwest","deeply","physical","explored"
"bragged","ants","crawling","masubi","intimacy"
"hairy","tataki","confirmation","not_pushy","legal"
"nt","unbearably","gloves","surety","fattening"
"congratulations","brunette","abysmal","unappetizing","not_entirely"
"not_touch","meringue","laughable","bad_taste","decent_service"
"groom","thyme","not_helpful","not_write","outlets"
"strangest","acidity","salivating","nomi","obligatory"
"threat","malbec","forcing","not_impressive","distracting"
"necessarily","hits","not_toasted","crackling","socializing"
"chalky","unwind","not_juicy","shavings","not_completely"
"expedite","punched","phones","crux","d'être"
"tolerated","bomber","pecorino","not_stellar","finch"
"not_entirely","milkshakes","musty","gary","remedy"
"todd","united","jury","sorely","upfront"
"beauty","frites","blob","operate","getränke"
"jukebox","mexican_food_restaurant","failing","rood","waylay"
"garnished","diversity","atelier","wiping","supervisor"
"abundant","bbq_chicken_pizza","reasonable_priced","not_interested","mmmmmmmm"
"ciabatta","galore","upping","flyer","camille"
"foils","berries","luxurious","not_attentive","richly"
"poppy","disrespect","mochiko","sazerac","mediocre_food"
"spading","dispute","managing","absurd","bootleggers"
"collection","not_trained","unclear","minuscule","offal"
"studying","bleeding","shook","homemade","not_overwhelm"
"unlv","slopped","decrease","praline","obtrusive"
"elite","not_anytime","glanced","gimlet","spencer"
"unsympathetic","unforgivable","hefeweizen","kraft","escarole"
"stomped","favorite","dripped","moonshine","cannot_even"
"unconcerned","not_smile","cleanse","reviled","lacklustre"
"mouthed","agitated","cluttered","lectures","not_rubbery"
"saltiest","dumbfounded","nettle","hugo","millie"
"not_receiving","yawn","trashy","vowed","chocolates"
"deliciousness","anaemic","jo","unbearable","wiped"
"headlight","coma","glare","professionalism","clerk"
"cops","sourced","storage","chandeliers","devilish"
"regulation","concerns","hug","winners","rea"
"astounded","rival","midway","nirvana","ornate"
"shutting","crispier","hokkaido","witty","awaits"
"innocent","not_warrant","ahoy","steroids","favs"
"swill","trashed","chewiness","not_consistent","bibimbop"
"semblance","cornstarch","rehab","corral","sandra"
"gouge","explicitly","plank","rican","stretchy"
"minuet","attitudes","mistakenly","shannon","not_doing"
"stabbed","excellence","julie","appreciative","smelly"
"ply","linton","brochette","lan","intricate"
"deception","spitting","doggies","not_thrilled","not_watered"
"shoddy","obese","kristin","calmer","gratitude"
"undesirable","valuable","giddy","flipped","trees"
"not_ripe","generate","flawless","inflated","mochiko"
"ashtray","wicked","passionate","ziemlich","managing"
"monotone","kindness","omega","survey","responsible"
"tremendous","not_serving","remembers","cello","rapine"
"wowed","rhubarb","cannolis","demographic","pescatarian"
"attentive_service","whomever","drab","fiend","penong"
"em_happy","inquiry","healthiest","billing","valuable"
"sanitizer","varieties","contender","signal","spends"
"totalling","evenings","caucasian","exorbitant","whirl"
"tragic","puffy","marshmallows","negative_reviews","not_until"
"wayyyyy","stumble","preoccupied","ramekin","representative"
"luke","jessica","craft_beer_selection","fraction","shaking"
"tasteful","bucco","satiated","warranted","sizable"
"robuchon","dips","monsieur","terrible_service","dependable"
"tricked","midweek","residue","cold_food","communicate"
"crummy","sunshine","sooooooo","pretty_disappointed","stark"
"bone_marrow","yakitori","penong","cannot_beat","spill"
"processing","spain","puree","grossed","staff_had"
"rotation","dishwater","horton","uninspired","autres"
"candied","blows","not_filling","hoovers","strudel"
"paramount","exquisite","rung","figs","subject"
"booster","disregard","jobs","stolen","fart"
"loses","absolutely_loved","gino","ernie","plank"
"hosted","barf","ummm","principle","teenage"
"limber","的","psyched","savouring","begged"
"ruff","queasy","whack","waving","carbs"
"eindruck","debacle","endive","housekeeping","lange"
"tina","not_satisfy","imaginative","legume","ouch"
"cured","not_measure","northwest","heartily","annoyance"
"norma","punishment","wollte","changer","hmmm"
"eaters","not_explain","contamination","choke","aisle"
"remarkable","misunderstanding","australian","not_extraordinary","vehicle"
"hankering","leaked","evoke","ornate","horrible_experience"
"chelsea","not_mentioned","ted","emily","refund"
"mighty","not_send","authentically","dreams","cancel"
"chore","logic","not_vegan","cochinita","mgr"
"michigan","amounted","robert","bloor","resolve"
"sri","fountains","hmmmm","stretchy","disaster"
"canyon","notices","tatar","sturgeon","gooooood"
"pallet","hugo","skyline","ronan","questioned"
"chickpea","simplicity","briny","fatuous","fluffiest"
"machaca","misplaced","infant","disturbing","tastings"
"yakitori","decrease","oktoberfest","creperie","komex"
"basics","debris","spoons","sympathique","pedicure"
"bananas","not_happening","taster","anaheim","felicia"
"defended","sooooooo","eyeing","chemical","salvatore"
"confrontation","injera","smelt","not_stand","bit_overpriced"
"grossest","annual","violation","responsible","sangiovese"
"not_telling","disconnect","blamed","vanessa","applause"
"discoloured","not_ideal","unhelpful","envies","gnudi"
"servicio","elk","ordeal","luke","forgettable"
"chlorine","heavier","smh","ensuring","jabistro"
"acknowledges","shallot","not_overbearing","glanced","not_beat"
"relayed","facet","disgustingly","not_overwhelmingly","blank"
"ick","ted","teaspoon","cleanse","fabulously"
"disorganization","unexpectedly","okinawa","not_eaten","escargots"
"microscopic","mumble","snapped","subtly","gluttonous"
"desperation","belle","marginally","christian","savouring"
"pissing","palates","stolen","comical","happy_houri"
"answers","hokkaido","not_overwhelmed","consensus","leticia"
"shuts","caffeine","pluses","totalled","woot"
"errors","danny","costumer","couches","argy"
"reject","melissa","malheureusement","hurried","angenehm"
"peeved","porchetta","masterpiece","distinguish","excels"
"not_likely","arty","flavorless","not_cold","not_her"
"nauseating","capitol","middling","fazit","excellent_food_service"
"michelle","brochette","sysco","gelatinous","sazerac"
"irritation","discovery","furikake","yelled","groovy"
"hastily","ontario","cochinita","offended","lightest"
"shrunk","departure","facial","yu","kraft"
"fragment","preserve","haphazardly","faves","leckeren"
"maricopa","enthusiast","clumped","yummm","friendship"
"wide_variety","uncaring","spitting","levetto","not_taking"
"urgent","worthless","disjointed","severe","vowed"
"downgraded","neglectful","woollen","buyer","sympathique"
"not_happening","not_seat","whys","oozier","anaheim"
"sophisticated","deliciously","carmel","tastic","tears"
"rubbing","unreal","subdued","illegal","accompaniments"
"chad","unidentifiable","sporadic","lovingly","observed"
"cannot_make","complainer","juicier","mcgill","dull"
"solidified","transferred","profiterole","rotates","not_visit"
"promoted","pluses","annual","mistakes","not_done"
"petit","inability","richer","not_special","sinus"
"ami","answers","variable","caucasian","laying"
"takoyaki","semblance","liven","verify","not_cut"
"unbearably","licking","spacing","complimenting","praying"
"fireplace","unspectacular","pibil","not_provide","cruising"
"anomaly","not_worth","surprises","marscapone","tasted_pretty"
"explore","undesirable","cartel","ignorance","agreeable"
"granola","treats","flipped","ballroom","remark"
"layered","scoffed","gossip","metered","bills"
"visitors","alerted","loopy","not_stingy","not_offered"
"maine","indigestion","bianca","gods","asses"
"enttäuscht","gouging","forks","hehe","flipped"
"cheeses","robotic","coincidence","shisha","tame"
"dart","facelift","reasoning","randy","shoppers"
"picas","solve","sturdy","bryan","howl"
"siam","wayyyyy","envy","meilleur","motion"
"julie","endlich","resembling","profiterole","not_call"
"urchin","adam","hurricane","steven","muss"
"nourriture","puree","ganoush","prohibition","notably"
"ramekin","shareable","awry","not_making","rests"
"kristin","remnant","bookmark","joseph","not_include"
"fence","amanda","tape","witness","dingy"
"starchy","communicated","dissapointed","diluted","signal"
"leek","jaded","not_frozen","refrigerated","not_add"
"galore","sizable","racist","squished","invest"
"madame","rico","police","retrospect","departure"
"lager","roasting","unbeatable","frazzled","sliding"
"pancetta","herbal","invisible","lowered","eider"
"pubic","expanding","licked","estimated","scattered"
"hooked","kielbasa","apologies","avg","physical"
"injured","awaited","ick","plague","insult"
"eta","stroll","breathtaking","yummers","confirmation"
"not_cleared","aorta","tastefully","remake","rubber"
"unmemorable","poison","lumpy","notepads","pretty_average"
"ammonia","import","addiction","burmese","incorrectly"
"insincere","recommends","christopher","flagged","false"
"downside","helps","ginormous","colombian","alexandra"
"hygienic","filth","scrap","cremini","frails"
"nastiness","urine","backdrop","redeeming","crated"
"tension","not_wash","troupe","responsibility","lukewarm"
"blech","not_delivered","sherbet","false","buyer"
"thinnest","verbally","pray","perfecter","laurie"
"gall","not_wearing","snowy","gangway","skilfully"
"goody","disconnected","frise's","expressed","absolutely_lovely"
